empresa;nome;endereco;bairro;cidade;estado;cep;latitude;longitude;data_extracao
petz;petz tambore;alameda araguaia, 2179                                              - parte a,junto a kalunga;tambore;barueri;SP;06455-000;;;08/10/2025
petz;petz tatui;rua sao bento, 287;centro;tatui;SP;18270-820;;;08/10/2025
petz;petz tauste campinas;av. dos imbes, 52;alphaville dom pedro;campinas;SP;13097-172;;;08/10/2025
petz;petz teodoro sampaio;rua teodoro sampaio, 1424;pinheiros;sao paulo;SP;05406-100;;;08/10/2025
petz;petz teotonio vilela;av. senador teotonio vilela ,  4482;vila sao jose;sao paulo;SP;04864-001;;;08/10/2025
petz;petz teresina;av. joao xxiii, 1176;noivos;teresina;PI;64049-010;;;08/10/2025
petz;petz torquato tapajos;av. torquato tapajos, 313;flores;manaus;AM;69048-660;;;08/10/2025
petz;petz torres;av. com. franco, 2958;guabirotuba;curitiba;PR;81520-000;;;08/10/2025
petz;petz trimais;av. tucuruvi, 220                                              - shopping trimais;tucuruvi;sao paulo;SP;02305-002;;;08/10/2025
petz;petz uberaba;av. leopoldino de oliveira, 4001;estados unidos;uberaba;MG;38010-000;;;08/10/2025
petz;petz uberlandia;av. rondon pacheco, 505;tabajaras;uberlandia;MG;38400-242;;;08/10/2025
petz;petz varzea grande;av. joao ponce de arruda, 1096;centro norte;varzea grande;MT;78030-485;;;08/10/2025
petz;petz vicente rao;av. professor vicente rao, 1700;jardim petropolis;sao paulo;SP;04636-001;;;08/10/2025
petz;petz vila galvao;r. maria primo de jesus, 47;vila galvao;guarulhos;SP;07056-040;;;08/10/2025
petz;petz vila isabel;rua teodoro da silva, 668;vila isabel;rio de janeiro;RJ;20560-025;;;08/10/2025
petz;petz vila mariana;rua vergueiro, 2604;vila mariana;sao paulo;SP;04102-000;;;08/10/2025
petz;petz vila matilde;avenida conde de frontin, 2416;tatuape;sao paulo;SP;03501-000;;;08/10/2025
petz;petz vila velha;rodovia do sol, 256;itapua;vila velha;ES;29102-320;;;08/10/2025
petz;petz vitoria;av. nossa senhora da penha, 1819;santa lucia;vitoria;ES;29056-075;;;08/10/2025
petz;petz vitoria da conquista;av. olivia flores, 973;candeias;vitoria da conquista;BA;45028-610;;;08/10/2025
petz;petz washington luis;av. washington luis, 2737;brooklin;sao paulo;SP;04662-003;;;08/10/2025
petz;petz washington soares;av. washington soares, 2300;edson queiroz;fortaleza;CE;60810-350;;;08/10/2025
cobasi;cobasi getulio vargas - osasco;avenida getulio vargas;;osasco;SP;;;;08/10/2025
cobasi;cobasi jandira mall;rua manoel alves garcia;;jandira;SP;;;;08/10/2025
cobasi;cobasi joao pessoa;rua bacharel jose de oliveira curchatuz;;joao pessoa;PB;;;;08/10/2025
cobasi;cobasi marilia esmeralda;avenida das esmeraldas;;marilia;SP;;;;08/10/2025
cobasi;cobasi presidente prudente;avenida onze de maio;;presidente prudente;SP;;;;08/10/2025
cobasi;cobasi riviera de sao lourenco;rua aprovada 239;;bertioga;SP;;;;08/10/2025
cobasi;pet shop cobasi alphaville;rua alameda rio negro;;barueri;SP;06454-000;;;08/10/2025
cobasi;pet shop cobasi alto da boa vista;avenida santo amaro;;sao paulo;SP;04702-002;;;08/10/2025
cobasi;pet shop cobasi alto de pinheiros;rua general furtado nascimento;;sao paulo;SP;05465-070;;;08/10/2025
cobasi;pet shop cobasi americana;avenida brasil;;americana;SP;13468-000;;;08/10/2025
cobasi;pet shop cobasi andradas;avenida dos andradas;;belo horizonte;MG;30280-020;;;08/10/2025
cobasi;pet shop cobasi aracaju rio mar;avenida delmiro gouveia;;aracaju;SE;49035-500;;;08/10/2025
cobasi;pet shop cobasi araraquara;shopping jaragua - av. alberto benassi;;araraquara;SP;14804-300;;;08/10/2025
cobasi;pet shop cobasi araraquara savegnago;rua mauricio gali;;araraquara;SP;;;;08/10/2025
cobasi;pet shop cobasi aracatuba;rua luiz pereira barreto;;aracatuba;SP;16015-445;;;08/10/2025
cobasi;pet shop cobasi assai anhanguera;rua samuel klabin;;sao paulo;SP;05077-903;;;08/10/2025
cobasi;pet shop cobasi assai interlagos;avenida sargento geraldo santana;;sao paulo;SP;04674-225;;;08/10/2025
cobasi;pet shop cobasi assai marginal tiete;avenida condessa elisabeth de robiano;;sao paulo;SP;03704-000;;;08/10/2025
cobasi;pet shop cobasi atibaia;rua pref. takao ono;;atibaia;SP;12940-750;;;08/10/2025
cobasi;pet shop cobasi atibaia ii;av. brigadeiro jose vicente faria lima;;atibaia;SP;12940-284;;;08/10/2025
cobasi;pet shop cobasi atlantica;av. atlantica;;sao paulo;SP;04772-005;;;08/10/2025
cobasi;pet shop cobasi augusta;rua augusta;;sao paulo;SP;01412-000;;;08/10/2025
cobasi;pet shop cobasi av. jundiai;avenida jundiai;;jundiai;SP;13208-051;;;08/10/2025
cobasi;pet shop cobasi av. morumbi;avenida morumbi;;sao paulo;SP;05606-200;;;08/10/2025
cobasi;pet shop cobasi avenida sao miguel;avenida sao miguel;;sao paulo;SP;08070-002;;;08/10/2025
cobasi;pet shop cobasi bh belvedere;rua maria luiza santiago;;belo horizonte;MG;30360-740;;;08/10/2025
cobasi;pet shop cobasi bh castelo;avenida heraclito mourao de miranda;;belo horizonte;MG;30840-032;;;08/10/2025
cobasi;pet shop cobasi bh contorno;avenida do contorno;;belo horizonte;MG;30110-017;;;08/10/2025
cobasi;pet shop cobasi bh del rey;av. presidente carlos luz;;belo horizonte;MG;31250-010;;;08/10/2025
cobasi;pet shop cobasi barra carrefour;avenida das americas;;rio de janeiro;RJ;22640-102;;;08/10/2025
cobasi;pet shop cobasi barra guanabara;avenida das americas;;rio de janeiro;RJ;22631-003;;;08/10/2025
cobasi;pet shop cobasi barra sul;av. diario de noticias;;porto alegre;RS;90810-080;;;08/10/2025
cobasi;pet shop cobasi barreiros;avenida leoberto leal;;sao jose;SC;88117-001;;;08/10/2025
cobasi;pet shop cobasi barretos;av. engenheiro necker carvalho de camargo;;barretos;SP;14783-085;;;08/10/2025
cobasi;pet shop cobasi bauru;rua sao goncalo;;bauru;SP;17012-170;;;08/10/2025
cobasi;pet shop cobasi belem bosque grao para;avenida centenario;;belem;PA;66640-840;;;08/10/2025
cobasi;pet shop cobasi birigui;avenida euclides miragaia;;birigui;SP;16204-000;;;08/10/2025
cobasi;pet shop cobasi blumenau neumarkt;rua sete de setembro;;blumenau;SC;89010-201;;;08/10/2025
cobasi;pet shop cobasi blumenau norte shopping;rodovia br 470;;blumenau;SC;89065-800;;;08/10/2025
cobasi;pet shop cobasi botafogo;rua voluntarios da patria;;rio de janeiro;RJ;;;;08/10/2025
cobasi;pet shop cobasi botucatu mall;avenida professor jose pedretti neto;;botucatu;SP;18606-125;;;08/10/2025
cobasi;pet shop cobasi braganca paulista;av. alpheu grimello (loja 01);;braganca paulista;SP;12916-010;;;08/10/2025
cobasi;pet shop cobasi braganca paulista - av. dos imigrantes;avenida dos imigrantes;;braganca paulista;SP;12802-000;;;08/10/2025
cobasi;pet shop cobasi brasilia venancio;scs quadra 8 bloco b;;brasilia;DF;70333-900;;;08/10/2025
cobasi;pet shop cobasi brasilia asa norte;edificio carlton center sepn;;brasilia;DF;70770-525;;;08/10/2025
cobasi;pet shop cobasi brasilia casapark;sgcv sul shopping casa park;;brasilia;DF;71215-900;;;08/10/2025
cobasi;pet shop cobasi brasilia pistao sul;quadra setor d sul;;brasilia;DF;72020-111;;;08/10/2025
cobasi;pet shop cobasi brasilia sia;rua sia trecho;;brasilia;DF;71200-020;;;08/10/2025
cobasi;pet shop cobasi brasilia taquari;shtq avenida comercial;;brasilia;DF;71551-010;;;08/10/2025
cobasi;pet shop cobasi braz leme;avenida braz leme;;sao paulo;SP;02511-000;;;08/10/2025
cobasi;pet shop cobasi brooklin;avenida washington luis;;sao paulo;SP;04627-003;;;08/10/2025
cobasi;pet shop cobasi buritis;avenida professor mario werneck;;belo horizonte;MG;30575-180;;;08/10/2025
cobasi;pet shop cobasi butanta;av. profº francisco morato;;sao paulo;SP;05513-300;;;08/10/2025
cobasi;pet shop cobasi cachoeirinha;av parada pinto;;sao paulo;SP;02611-002;;;08/10/2025
cobasi;pet shop cobasi caminho do mar;avenida caminho do mar;;sao bernardo do campo;SP;09609-000;;;08/10/2025
cobasi;pet shop cobasi campinas abolicao;rua da abolicao;;campinas;SP;13041-445;;;08/10/2025
cobasi;pet shop cobasi campinas amoreiras;av. ruy rodrigues;;campinas;SP;13060-192;;;08/10/2025
cobasi;pet shop cobasi campinas cambui;av. orosimbo maia;;campinas;SP;13024-045;;;08/10/2025
cobasi;pet shop cobasi campinas cambui ii;rua coronel francisco andrade coutinho;;campinas;SP;13025-190;;;08/10/2025
cobasi;pet shop cobasi campinas princesa d’ oeste;av. princesa doeste;;campinas;SP;13100-040;;;08/10/2025
cobasi;pet shop cobasi campinas shopping galleria;rodovia dom pedro i;;campinas;SP;13091-910;;;08/10/2025
cobasi;pet shop cobasi campinas taquaral;avenida doutor theodureto de almeida camargo;;campinas;SP;13075-630;;;08/10/2025
cobasi;pet shop cobasi campo grande ms;avenida afonso pena;;campo grande;MS;79020-000;;;08/10/2025
cobasi;pet shop cobasi campo limpo;avenida carlos lacerda;;sao paulo;SP;05788-290;;;08/10/2025
cobasi;pet shop cobasi candangolandia;setor de postos e moteis sul i;;brasilia;DF;71727-800;;;08/10/2025
cobasi;pet shop cobasi canoas;avenida farroupilha;;canoas;RS;92020-475;;;08/10/2025
cobasi;pet shop cobasi canoas br116;avenida getulio vargas;;canoas;RS;92010-013;;;08/10/2025
cobasi;pet shop cobasi cantareira norte shopping;avenida raimundo pereira de magalhaes;;sao paulo;SP;02984-035;;;08/10/2025
cobasi;pet shop cobasi carapicuiba;avenida desembargador doutor eduardo cunha de abreu;;carapicuiba;SP;06328-330;;;08/10/2025
cobasi;pet shop cobasi carrefour nacoes;avenida das nacoes unidas;;sao paulo;SP;04794-000;;;08/10/2025
cobasi;pet shop cobasi carrao;rua serra de botucatu;;sao paulo;SP;03317-001;;;08/10/2025
cobasi;pet shop cobasi casa forte;r. leonardo bezerra cavalcanti;;recife;PE;52060-030;;;08/10/2025
cobasi;pet shop cobasi cascavel;av. brasil;;cascavel;PR;85812-500;;;08/10/2025
cobasi;pet shop cobasi caxias do sul;rodovia rsc 453;;caxias do sul;RS;95110-195;;;08/10/2025
cobasi;pet shop cobasi cerro cora;rua  cerro cora;;sao paulo;SP;05061-400;;;08/10/2025
cobasi;pet shop cobasi comendador agostinho - limeira ii;avenida comendador agostinho prada;;limeira;SP;13482-220;;;08/10/2025
cobasi;pet shop cobasi conselheiro rodrigues alves;av. conselheiro rodrigues alves;;sao paulo;SP;04102-000;;;08/10/2025
cobasi;pet shop cobasi continente shopping;rodovia br 101 - km211 continente park shopping;;sao jose;SC;88104-800;;;08/10/2025
cobasi;pet shop cobasi copacabana posto 2;avenida nossa senhora de copacabana;;rio de janeiro;RJ;22020-002;;;08/10/2025
cobasi;pet shop cobasi corifeu;avenida corifeu de azevedo marques;;sao paulo;SP;05582-000;;;08/10/2025
cobasi;pet shop cobasi cotia;rua luiz silva;;cotia;SP;06716-030;;;08/10/2025
cobasi;pet shop cobasi criciuma;av jorge elias de lucca;;criciuma;SC;88813-390;;;08/10/2025
cobasi;pet shop cobasi cuiaba cpa;avenida historiador rubens de mendonca;;cuiaba;MT;78050-000;;;08/10/2025
cobasi;pet shop cobasi curitiba linha verde;av. senador salgado filho;;curitiba;PR;80215-270;;;08/10/2025
cobasi;pet shop cobasi curitiba mario tourinho;rua general mario tourinho;;curitiba;PR;80740-016;;;08/10/2025
cobasi;pet shop cobasi curitiba novo mundo;rua isaac guelmann;;curitiba;PR;81050-030;;;08/10/2025
cobasi;pet shop cobasi df gama;quadra 55 lote 9;;brasilia;DF;72405-550;;;08/10/2025
cobasi;pet shop cobasi go planaltina;setor de areas especiais norte;;planaltina;GO;73340-190;;;08/10/2025
cobasi;pet shop cobasi df plaza shopping;rua copaiba lote 01;;brasilia;DF;71919-540;;;08/10/2025
cobasi;pet shop cobasi diadema;avenida presidente kennedy;;diadema;SP;09913-000;;;08/10/2025
cobasi;pet shop cobasi eco mall pinheirinho;rodovia br-116;;curitiba;PR;81690-300;;;08/10/2025
cobasi;pet shop cobasi embu das artes;av. elias yazbek;;embu das artes;SP;06803-045;;;08/10/2025
cobasi;pet shop cobasi embu das artes ii;avenida joao batista medina;;embu das artes;SP;06840-050;;;08/10/2025
cobasi;pet shop cobasi engenheiro caetano alvares;av. eng. caetano alvares;;sao paulo;SP;;;;08/10/2025
cobasi;pet shop cobasi epitacio pessoa;avenida presidente epitacio pessoa;;joao pessoa;PB;58042-006;;;08/10/2025
cobasi;pet shop cobasi ermano marchetti;rua luiz gatti;;sao paulo;SP;05038-150;;;08/10/2025
cobasi;pet shop cobasi estr. do campo limpo;estrada do campo limpo;;sao paulo;SP;05787-000;;;08/10/2025
cobasi;pet shop cobasi estrada de itapecerica;estrada de itapecerica;;sao paulo;SP;05835-005;;;08/10/2025
cobasi;pet shop cobasi feira de santana;avenida joao durval carneiro;;feira de santana;BA;44090-008;;;08/10/2025
cobasi;pet shop cobasi florianopolis;rodovia jose carlos daux;;florianopolis;SC;88032-005;;;08/10/2025
cobasi;pet shop cobasi florianopolis centro;rua francisco tolentino;;florianopolis;SC;88010-200;;;08/10/2025
cobasi;pet shop cobasi fortaleza aldeota;av. santos dumont;;fortaleza;CE;60150-162;;;08/10/2025
cobasi;pet shop cobasi fortaleza meireles;avenida barao de studart;;fortaleza;CE;60120-024;;;08/10/2025
cobasi;pet shop cobasi fortaleza open mall;avenida washington soares;;fortaleza;CE;60810-350;;;08/10/2025
cobasi;pet shop cobasi franca;avenida doutor antonio barboza filho;;franca;SP;14405-000;;;08/10/2025
cobasi;pet shop cobasi frei gaspar;avenida brigadeiro faria lima;;sao bernardo do campo;SP;09720-010;;;08/10/2025
cobasi;pet shop cobasi goiania decathlon;avenida i;;goiania;GO;74810-075;;;08/10/2025
cobasi;pet shop cobasi goiania t63;avenida t63;;goiania;GO;74335-104;;;08/10/2025
cobasi;pet shop cobasi granja vianna;av. marginal;;cotia;SP;06708-030;;;08/10/2025
cobasi;pet shop cobasi guaruja;avenida leomil;;guaruja;SP;11410-160;;;08/10/2025
cobasi;pet shop cobasi guarulhos;av. anielo pratici;;guarulhos;SP;07013-000;;;08/10/2025
cobasi;pet shop cobasi guarulhos centro;avenida salgado filho;;guarulhos;SP;07115-180;;;08/10/2025
cobasi;pet shop cobasi guarulhos sakamoto;rodovia presidente dutra km 210;;guarulhos;SP;;;;08/10/2025
cobasi;pet shop cobasi guarulhos timoteo penteado;avenida doutor timoteo penteado;;guarulhos;SP;07094-000;;;08/10/2025
cobasi;pet shop cobasi higienopolis;avenida angelica;;sao paulo;SP;01228-000;;;08/10/2025
cobasi;pet shop cobasi iguatemi campinas;shopping iguatemi campinas - avenida iguatemi;;campinas;SP;13092-500;;;08/10/2025
cobasi;pet shop cobasi iguatemi fortaleza;av. washington soares;;fortaleza;CE;60810-060;;;08/10/2025
cobasi;pet shop cobasi imigrantes;av. prof abraao de morais;;sao paulo;SP;04123-011;;;08/10/2025
cobasi;pet shop cobasi imirim;avenida imirim;;sao paulo;SP;02465-300;;;08/10/2025
cobasi;pet shop cobasi indaiatuba;avenida presidente vargas;;indaiatuba;SP;13334-085;;;08/10/2025
cobasi;pet shop cobasi interlar interlagos;av. interlagos;;sao paulo;SP;04661-100;;;08/10/2025
cobasi;pet shop cobasi itajai;avenida osvaldo reis;;itajai;SC;88306-600;;;08/10/2025
cobasi;pet shop cobasi itaquaquecetuba davo;avenida italo adami;;itaquaquecetuba;SP;08573-000;;;08/10/2025
cobasi;pet shop cobasi itaquera;avenida itaquera;;sao paulo;SP;;;;08/10/2025
cobasi;pet shop cobasi jabaquara;avenida engenheiro george corbisier;;sao paulo;SP;04345-001;;;08/10/2025
cobasi;pet shop cobasi jaboatao dos guararapes;avenida bernardo vieira de melo;;jaboatao dos guararapes;PE;54410-010;;;08/10/2025
cobasi;pet shop cobasi jacarei tenda;praca charles gates;;jacarei;SP;12306-090;;;08/10/2025
cobasi;pet shop cobasi jardim japao;avenida jardim japao;;sao paulo;SP;02221-001;;;08/10/2025
cobasi;pet shop cobasi jau;av. anna claudina;;jau;SP;17203-381;;;08/10/2025
cobasi;pet shop cobasi jd. botanico;cj smdb area especial d;;brasilia;DF;;;;08/10/2025
cobasi;pet shop cobasi joinville;avenida rolf wiest;;joinville;SC;89223-005;;;08/10/2025
cobasi;pet shop cobasi juiz de fora jardim norte;av. brasil;;juiz de fora;MG;36080-000;;;08/10/2025
cobasi;pet shop cobasi jundiai;rua jose amato;;jundiai;SP;13201-141;;;08/10/2025
cobasi;pet shop cobasi lauro de freitas;av. santos dumont;;lauro de freitas;BA;42701-260;;;08/10/2025
cobasi;pet shop cobasi limeira;avenida carlos kuntz busch;;limeira;SP;13485-905;;;08/10/2025
cobasi;pet shop cobasi londrina centro;rua minas gerais;;londrina;PR;86010-170;;;08/10/2025
cobasi;pet shop cobasi londrina madre leonia;av. madre leonia milito;;londrina;PR;86050-270;;;08/10/2025
cobasi;pet shop cobasi mboi mirim;estrada do mboi mirim;;sao paulo;SP;04905-002;;;08/10/2025
cobasi;pet shop cobasi maceio fernandes lima;avenida fernandes lima;;maceio;AL;57055-000;;;08/10/2025
cobasi;pet shop cobasi maracanau;rua joao de alencar;;maracanau;CE;61900-150;;;08/10/2025
cobasi;pet shop cobasi marechal tito;av marechal tito;;sao paulo;SP;08022-000;;;08/10/2025
cobasi;pet shop cobasi marginal pinheiros;avenida das nacoes unidas;;sao paulo;SP;04795-100;;;08/10/2025
cobasi;pet shop cobasi marginal tiete;rua maria prestes maia;;sao paulo;SP;02047-000;;;08/10/2025
cobasi;pet shop cobasi maringa;av. joao paulino vieira filho;;maringa;PR;87020-015;;;08/10/2025
cobasi;pet shop cobasi marilia;avenida sampaio vidal;;marilia;SP;17500-022;;;08/10/2025
cobasi;pet shop cobasi minas shopping;avenida cristiano machado;;belo horizonte;MG;31160-959;;;08/10/2025
cobasi;pet shop cobasi moema passaros;avenida ibirapuera;;sao paulo;SP;04028-002;;;08/10/2025
cobasi;pet shop cobasi moinhos dos ventos;rua miguel tostes;;porto alegre;RS;90430-060;;;08/10/2025
cobasi;pet shop cobasi mooca;av. alcantara machado;;sao paulo;SP;03101-000;;;08/10/2025
cobasi;pet shop cobasi morumbi;av. giovanni gronchi;;sao paulo;SP;05724-003;;;08/10/2025
cobasi;pet shop cobasi natal;avenida senador salgado filho;;natal;RN;59076-000;;;08/10/2025
cobasi;pet shop cobasi niteroi;rua marechal deodoro;;niteroi;RJ;24030-060;;;08/10/2025
cobasi;pet shop cobasi nossa senhora do carmo;av. nossa senhora do carmo;;belo horizonte;MG;30335-300;;;08/10/2025
cobasi;pet shop cobasi nova cantareira;avenida nova cantareira;;sao paulo;SP;;;;08/10/2025
cobasi;pet shop cobasi novo hamburgo;avenida primeiro de marco;;novo hamburgo;RS;93320-102;;;08/10/2025
cobasi;pet shop cobasi osasco;av. dos autonomistas;;osasco;SP;06090-010;;;08/10/2025
cobasi;pet shop cobasi osasco joao andrade;av. joao de andrade;;osasco;SP;06132-006;;;08/10/2025
cobasi;pet shop cobasi poa assis brasil;avenida assis brasil;;porto alegre;RS;91010-003;;;08/10/2025
cobasi;pet shop cobasi poa av. brasil;av. brasil;;porto alegre;RS;90230-061;;;08/10/2025
cobasi;pet shop cobasi poa bollogna mall;avenida coronel marcos;;porto alegre;RS;91760-000;;;08/10/2025
cobasi;pet shop cobasi poa central parque;avenida ipiranga;;porto alegre;RS;91530-000;;;08/10/2025
cobasi;pet shop cobasi palmas;quadra arno 12 alameda das aroeiras;;palmas;TO;77001-048;;;08/10/2025
cobasi;pet shop cobasi park shopping jacarepagua;park shopping jacarepagua - estr. de jacarepagua;;rio de janeiro;RJ;22753-045;;;08/10/2025
cobasi;pet shop cobasi parque olimpico;avenida embaixador abelardo bueno;;rio de janeiro;RJ;22775-040;;;08/10/2025
cobasi;pet shop cobasi passo fundo shopping;av. presidente vargas;;passo fundo;RS;99064-000;;;08/10/2025
cobasi;pet shop cobasi paulinia;avenida jose paulino;;paulinia;SP;13140-723;;;08/10/2025
cobasi;pet shop cobasi pelotas;av. ferreira viana;;pelotas;RS;96085-000;;;08/10/2025
cobasi;pet shop cobasi pinhais;rua primeiro de maio;;pinhais;PR;83323-020;;;08/10/2025
cobasi;pet shop cobasi piracicaba;avenida limeira (ao lado do shopping);;piracicaba;SP;13414-018;;;08/10/2025
cobasi;pet shop cobasi piracicaba independencia;avenida independencia;;piracicaba;SP;13419-160;;;08/10/2025
cobasi;pet shop cobasi poa wenceslau escobar;avenida wenceslau escobar;;porto alegre;RS;91900-000;;;08/10/2025
cobasi;pet shop cobasi pompeia;rua carlos vicari;;sao paulo;SP;05033-070;;;08/10/2025
cobasi;pet shop cobasi ponta grossa;avenida ernesto vilela;;ponta grossa;PR;84070-000;;;08/10/2025
cobasi;pet shop cobasi ponta grossa ii;rua ermelino de leao;;ponta grossa;PR;84035-000;;;08/10/2025
cobasi;pet shop cobasi portal do morumbi;av dr guilherme dumont vilares;;sao paulo;SP;05640-902;;;08/10/2025
cobasi;pet shop cobasi porto alegre iguatemi;shopping iguatemi - av. joao wallig;;porto alegre;RS;91340-020;;;08/10/2025
cobasi;pet shop cobasi porto alegre ipiranga;avenida ipiranga;;porto alegre;RS;90610-001;;;08/10/2025
cobasi;pet shop cobasi praia grande;avenida ayrton senna da silva;;praia grande;SP;11726-000;;;08/10/2025
cobasi;pet shop cobasi praia grande ocian;av. presidente kennedy;;praia grande;SP;11704-105;;;08/10/2025
cobasi;pet shop cobasi praca da arvore;av jabaquara;;sao paulo;SP;04046-000;;;08/10/2025
cobasi;pet shop cobasi rj norte shopping;avenida dom helder camara;;rio de janeiro;RJ;20771-900;;;08/10/2025
cobasi;pet shop cobasi raposo tavares;rod. raposo tavares;;sao paulo;SP;05576-000;;;08/10/2025
cobasi;pet shop cobasi reboucas;av. reboucas;;sao paulo;SP;05402-300;;;08/10/2025
cobasi;pet shop cobasi recife;rua padre carapuceiro;;recife;PE;50020-280;;;08/10/2025
cobasi;pet shop cobasi ribeirao dom pedro i;av. dom pedro i;;ribeirao preto;SP;14055-630;;;08/10/2025
cobasi;pet shop cobasi ribeirao preto ii (loja maurilio biagi);av. maurilio biagi;;ribeirao preto;SP;14020-750;;;08/10/2025
cobasi;pet shop cobasi ribeirao preto iguatemi;av. luis eduardo toledo prado (loja 2107);;ribeirao preto;SP;14027-250;;;08/10/2025
cobasi;pet shop cobasi ribeirao preto presidente vargas;av. presidente vargas;;ribeirao preto;SP;14093-129;;;08/10/2025
cobasi;pet shop cobasi ricardo jafet;avenida dr. ricardo jafet;;sao paulo;SP;04123-030;;;08/10/2025
cobasi;pet shop cobasi rio das pedras;rua jorge ogushi;;sao paulo;SP;03471-000;;;08/10/2025
cobasi;pet shop cobasi rio de janeiro campo grande;parkshopping campo grande – estrada do monteiro;;rio de janeiro;RJ;23045-830;;;08/10/2025
cobasi;pet shop cobasi rui barbosa;praca rui barbosa;;curitiba;PR;80010-030;;;08/10/2025
cobasi;pet shop cobasi sbc faria lima;avenida brigadeiro faria lima;;sao bernardo do campo;SP;09720-000;;;08/10/2025
cobasi;pet shop cobasi sp ipiranga;avenida doutor ricardo jafet;;sao paulo;SP;04123-030;;;08/10/2025
cobasi;pet shop cobasi sabara;r. moacir simoes da rocha;;sao paulo;SP;04674-150;;;08/10/2025
cobasi;pet shop cobasi salto;avenida jose maria marques de oliveira;;salto;SP;13327-300;;;08/10/2025
cobasi;pet shop cobasi salvador rio vermelho;av. juracy magalhaes junior;;salvador;BA;41940-060;;;08/10/2025
cobasi;pet shop cobasi santa barbara d’oeste tivoli;rua do osmio;;santa barbara doeste;SP;13456-625;;;08/10/2025
cobasi;pet shop cobasi santana;r. voluntarios da patria;;sao paulo;SP;02402-200;;;08/10/2025
cobasi;pet shop cobasi santo andre av. dos estados;avenida dos estados;;santo andre;SP;09290-520;;;08/10/2025
cobasi;pet shop cobasi santo andre p. barreto;praca engenheiro roldao dos santos ferreira;;santo andre;SP;09190-695;;;08/10/2025
cobasi;pet shop cobasi santo andre prestes maia;praca uirapuru;;santo andre;SP;09071-220;;;08/10/2025
cobasi;pet shop cobasi santos afonso pena;avenida afonso pena;;santos;SP;11020-002;;;08/10/2025
cobasi;pet shop cobasi santos conselheiro nebias;avenida conselheiro nebias;;santos;SP;;;;08/10/2025
cobasi;pet shop cobasi santos francisco glicerio;avenida general francisco glicerio;;santos;SP;11065-400;;;08/10/2025
cobasi;pet shop cobasi sena madureira;rua sena madureira;;sao paulo;SP;04021-001;;;08/10/2025
cobasi;pet shop cobasi shop. estacao cuiaba;av. miguel sutil;;cuiaba;MT;78040-365;;;08/10/2025
cobasi;pet shop cobasi shopping aricanduva;av. aricanduva;;sao paulo;SP;03527-900;;;08/10/2025
cobasi;pet shop cobasi shopping eldorado;shopping eldorado – av. reboucas;;sao paulo;SP;05402-600;;;08/10/2025
cobasi;pet shop cobasi sorocaba av. sao paulo;rua antonio fernandes;;sorocaba;SP;;;;08/10/2025
cobasi;pet shop cobasi sorocaba itavuvu;av. itavuvu;;sorocaba;SP;18076-005;;;08/10/2025
cobasi;pet shop cobasi sorocaba pannunzio;av. dr. armando pannunzio;;sorocaba;SP;18050-000;;;08/10/2025
cobasi;pet shop cobasi sorocaba panoramico;rodovia raposo tavares;;sorocaba;SP;18030-005;;;08/10/2025
cobasi;pet shop cobasi sumare;av. sumare;;sao paulo;SP;05016-090;;;08/10/2025
cobasi;pet shop cobasi sumare parkcity shopping;av. reboucas;;sumare;SP;13171-065;;;08/10/2025
cobasi;pet shop cobasi sao bernardo jurubatuba;rua jurubatuba;;sao bernardo do campo;SP;09725-001;;;08/10/2025
cobasi;pet shop cobasi sao caetano;alameda caulim;;sao caetano do sul;SP;09530-200;;;08/10/2025
cobasi;pet shop cobasi sao carlos;rua passeio dos flamboyants;;sao carlos;SP;13561-352;;;08/10/2025
cobasi;pet shop cobasi sao jose do rio preto falavina;av. domingos falavina;;sao jose do rio preto;SP;15046-265;;;08/10/2025
cobasi;pet shop cobasi sao jose do rio preto iguatemi;av. juscelino kubitschek;;sao jose do rio preto;SP;15093-340;;;08/10/2025
cobasi;pet shop cobasi sao jose dos campos;av. dep. benedito matarazzo;;sao jose dos campos;SP;12246-840;;;08/10/2025
cobasi;pet shop cobasi sao jose dos campos jardim oriente;shopping jd. oriente - rua andorra;;sao jose dos campos;SP;12235-050;;;08/10/2025
cobasi;pet shop cobasi sao jose dos campos nelson davila;av. dr. nelson d´avila;;sao jose dos campos;SP;12245-030;;;08/10/2025
cobasi;pet shop cobasi sao jose dos pinhais av. torres;av. torres;;sao jose dos pinhais;PR;83005-450;;;08/10/2025
cobasi;pet shop cobasi sao judas;av. jabaquara;;sao paulo;SP;04045-003;;;08/10/2025
cobasi;pet shop cobasi sao vicente;avenida presidente wilson;;sao vicente;SP;11320-001;;;08/10/2025
cobasi;pet shop cobasi tambore;alameda araguaia;;barueri;SP;06455-000;;;08/10/2025
cobasi;pet shop cobasi tatuape;rua visconde de itaborai;;sao paulo;SP;03308-050;;;08/10/2025
cobasi;pet shop cobasi taubate;av dom pedro i;;taubate;SP;12081-810;;;08/10/2025
cobasi;pet shop cobasi taubate ii;avenida charles schnneider;;taubate;SP;12040-000;;;08/10/2025
cobasi;pet shop cobasi teodoro sampaio;rua teodoro sampaio;;sao paulo;SP;05418-020;;;08/10/2025
cobasi;pet shop cobasi teotonio vilela;avenida senador teotonio vilela;;sao paulo;SP;04833-000;;;08/10/2025
cobasi;pet shop cobasi tutoia;r. tutoia;;sao paulo;SP;04007-002;;;08/10/2025
