empresa;nome;endereco;bairro;cidade;estado;cep;latitude;longitude;data_extracao
petz;petz brasilia sia;sia trecho 02, lotes 65/95 , 65/95;guara i;brasilia;DF;71200-207;;;08/10/2025
petz;petz brasilia w3 norte;comercio residencial norte, 502;shcn;brasilia;DF;70297-400;;;08/10/2025
petz;petz brusque;r. pref. germano schaeffer, 755;centro 1;brusque;SC;88353-020;;;08/10/2025
petz;petz bueno t63;av t63, s/n                                              - quadra 143 lote 4/13;setor bueno;goiania;GO;74230-105;;;08/10/2025
petz;petz butanta;av. professor francisco morato, 1796                                              - 1798;butanta;sao paulo;SP;05512-200;;;08/10/2025
petz;petz cambui;av. doutor moraes sales, 2326;nova campinas;campinas;SP;13100-201;;;08/10/2025
petz;petz campinas norte sul;av jose de sousa campos, 200;nova campinas;campinas;SP;13092-123;;;08/10/2025
petz;petz campo grande;av. afonso pena, 5420;chacara cachoeira;campo grande;MS;79040-010;;;08/10/2025
petz;petz campo grande rio;estrada da cachamorra, 200;campo grande;rio de janeiro;RJ;23040-125;;;08/10/2025
petz;petz canoas;avenida getulio vargas, 6401;marechal rondon;canoas;RS;92020-020;;;08/10/2025
petz;petz caraguatatuba;rua vereador antonio cruz arouca, 200;indaia;caraguatatuba;SP;11665-100;;;08/10/2025
petz;petz carapicuiba;avenida inocencio serafico, 3375;vila silva ribeiro;carapicuiba;SP;06380-021;;;08/10/2025
petz;petz carlos berta;r. antonio carlos berta, 151;jardim europa;porto alegre;RS;91340-020;;;08/10/2025
petz;petz carlos luz;avenida presidente carlos luz, 710;caicaras;belo horizonte;MG;31230-010;;;08/10/2025
petz;petz carrefour anchieta;av .marginal direita anchieta, 3398;jardim maria estela;sao paulo;SP;04246-900;;;08/10/2025
petz;petz carrefour imigrantes;r. ribeiro lacerda, 940                                              - estacionamento g3 carrefour;bosque da saude;sao paulo;SP;04147-020;;;08/10/2025
petz;petz carrefour manilha;r. oliveira botelho, 349                                              - dentro do carrefour manilha;neves;sao goncalo;RJ;24425-005;;;08/10/2025
petz;petz carrefour ribeirao shopping;av coronel fernando ferreira leite, 1540                                              - ribeirao shopping;jardim california;ribeirao preto;SP;14026-020;;;08/10/2025
