empresa;nome;logradouro;bairro;cidade;estado;regiao;cep;populacao;latitude;longitude;renda_domiciliar_per_capita;cidade_cod_ibge;data_extracao
petz;Petz Bandeirantes;Av. dos Bandeirantes, 2040;Vila Olímpia;São Paulo;SP;Sudeste;04553-902;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Bangu Shopping;"Rua Fonseca, 240
                                             - Area Ext, proximo a Portaria 2";Bangu;Rio de Janeiro;RJ;Sudeste;21820-005;6729894.0;;;2490.0;3300100.0;08/10/2025
petz;Petz Barra Américas;"Avenida das Américas, 6571
                                             - Lote 02 Pal 45164";Barra da Tijuca;Rio de Janeiro;RJ;Sudeste;22793-080;6729894.0;;;2490.0;3300100.0;08/10/2025
petz;Petz Barreiro;Av. Sinfrônio Brochado, 1200;Barreiro;Belo Horizonte;MG;Sudeste;30640-000;2416339.0;;;2001.0;3100104.0;08/10/2025
petz;Petz Bauru;RUA RUBENS PAGANI , 444;Jardim Estoril;Bauru;SP;Sudeste;17016-210;391740.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Belém;Av. Nª Sra. de Nazaré, 139;Nazaré;Belém;PA;Norte;66035-445;1398531.0;;;1344.0;1500107.0;08/10/2025
petz;Petz Belford Roxo;Av. Jorge Júlio da Costa dos Santos, 971;Centro;Belford Roxo;RJ;Sudeste;26130-010;518263.0;;;2490.0;3300100.0;08/10/2025
petz;Petz Bento Gonçalves;R. Fortaleza, 362;Botafogo;Bento Gonçalves;RS;Sul;95700-000;127775.0;;;2608.0;4300034.0;08/10/2025
petz;Petz BestCenter Jacareí;R. Barão de Jacareí, 625;Jardim Mesquita;Jacareí;SP;Sudeste;12308-000;249968.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Betim;Av. Juiz Marco Tulio Isaac, 470;Parque das Industrias;Betim;MG;Sudeste;32671-072;429236.0;;;2001.0;3100104.0;08/10/2025
petz;Petz Blumenau;R. São Paulo, 1629;Itoupava Seca;Blumenau;SC;Sul;89030-001;380597.0;;;2601.0;4200051.0;08/10/2025
petz;Petz Boa Viagem;Rua Professor João Medeiros, 139;Boa Viagem;Recife;PE;Nordeste;51020-000;1587707.0;;;1453.0;2600054.0;08/10/2025
petz;Petz Bosque Maia;Av. Paulo Faccini, 1385;Macedo;Guarulhos;SP;Sudeste;07111-000;1345364.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Botafogo;Rua General Polidoro, 113;Botafogo;Rio de Janeiro;RJ;Sudeste;22280-004;6729894.0;;;2490.0;3300100.0;08/10/2025
petz;Petz Botucatu;Av. Dr. Vital Brasil, 645;Vila Sao Lucio;Botucatu;SP;Sudeste;18603-193;150442.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Brasília Asa Norte;"ST STN, Conjunto D, BLOCO 2/B, S/N
                                             - TERMINAL NORTE CONJ D BLOCO2/B";Asa Norte;Brasília;DF;Centro-Oeste;70770-100;2982818.0;;;3444.0;5300108.0;08/10/2025
petz;Petz Brasília Epia;Epia Sul, , Lote 3;Candangolândia;Brasília;DF;Centro-Oeste;71738-010;2982818.0;;;3444.0;5300108.0;08/10/2025
petz;Petz Brasília Jardim Botânico;"Av. Das Paineiras - Q. 1 Lote E , S/N
                                             - Proximo a Paroquia Santa Clara";Jardim Botânico;Brasília;DF;Centro-Oeste;71681-025;2982818.0;;;3444.0;5300108.0;08/10/2025
petz;Petz Brasília SIA;SIA trecho 02, Lotes 65/95 , 65/95;Guará I;Brasília;DF;Centro-Oeste;71200-207;2982818.0;;;3444.0;5300108.0;08/10/2025
petz;Petz Brasília W3 Norte;Comércio Residencial Norte, 502;SHCN;Brasília;DF;Centro-Oeste;70297-400;2982818.0;;;3444.0;5300108.0;08/10/2025
petz;Petz Brusque;R. Pref. Germano Schaeffer, 755;Centro 1;Brusque;SC;Sul;88353-020;151949.0;;;2601.0;4200051.0;08/10/2025
petz;Petz Bueno T63;"Av T63, S/N
                                             - Quadra 143 lote 4/13";Setor Bueno;Goiânia;GO;Centro-Oeste;74230-105;1494599.0;;;2098.0;5200050.0;08/10/2025
petz;Petz Butantã;"Av. Professor Francisco Morato, 1796
                                             - 1798";Butantã;São Paulo;SP;Sudeste;05512-200;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Cambuí;Av. Doutor Moraes Sales, 2326;Nova Campinas;Campinas;SP;Sudeste;13100-201;1185977.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Campinas Norte Sul;Av Jose de Sousa Campos, 200;Nova Campinas;Campinas;SP;Sudeste;13092-123;1185977.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Campo Grande;Av. Afonso Pena, 5420;Chacara Cachoeira;Campo Grande;MS;Centro-Oeste;79040-010;954537.0;;;2169.0;5000203.0;08/10/2025
petz;Petz Campo Grande Rio;Estrada da Cachamorra, 200;Campo Grande;Rio de Janeiro;RJ;Sudeste;23040-125;6729894.0;;;2490.0;3300100.0;08/10/2025
petz;Petz Canoas;Avenida Getúlio Vargas, 6401;Marechal Rondon;Canoas;RS;Sul;92020-020;359554.0;;;2608.0;4300034.0;08/10/2025
petz;Petz Caraguatatuba;Rua Vereador Antônio Cruz Arouca, 200;Indaiá;Caraguatatuba;SP;Sudeste;11665-100;141084.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Carapicuíba;Avenida Inocêncio Seráfico, 3375;Vila Silva Ribeiro;Carapicuíba;SP;Sudeste;06380-021;398462.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Carlos Berta;R. Antônio Carlos Berta, 151;Jardim Europa;Porto Alegre;RS;Sul;91340-020;1389322.0;;;2608.0;4300034.0;08/10/2025
